Tick,TotalNetWorth,CashBalance,Weight_AAPL,Weight_MSFT,Weight_NVDA
1,156000,100000,0.333333,0.333333,0.333333
2,155847,-153.333,0.000771271,0.000771271,0.998457
3,155580,-266.519,0.0145776,0.00067616,0.984746
4,155576,-18.4765,0.0109743,0.000572658,0.988453
5,155694,541.594,0.0216232,0.0010832,0.977294
6,155691,47.0489,0.0292793,0.00124278,0.969478
7,155691,73.1608,0.0101293,0.706994,0.282876
8,155648,-42.9944,0.0152642,0.614118,0.370618
9,155642,-5.89471,0.0188014,0.568279,0.412919
10,155619,-2.98733,0.0193521,0.585709,0.394939
11,155622,84.8656,0.0196262,0.594658,0.385715
12,155622,127.858,0.019844,0.601804,0.378352
13,155529,161.763,0.0261603,0.487327,0.486512
14,155665,15.0345,0.0427615,0.598863,0.358376
15,155712,47.0118,0.0549214,0.63313,0.311948
16,155722,16.0708,0.0605146,0.67131,0.268176
17,155738,16.4022,0.0624688,0.670701,0.266831
18,155738,-289.043,0.0641973,0.670117,0.265686
19,155650,-558.326,0.0689318,0.653507,0.277561
20,155657,6.57782,0.0730534,0.639777,0.28717
21,155663,5.80423,0.0766804,0.628231,0.295089
22,155740,4.82648,0.0935439,0.55322,0.353236
23,155938,42.4249,0.128724,0.607159,0.264117
24,155952,82.7491,0.115337,0.648782,0.235881
25,156043,41.5289,0.103678,0.684639,0.211683
26,156082,38.6094,0.0927311,0.68478,0.222489
27,156037,61.6655,0.0812234,0.686177,0.232599
28,156057,255.738,0.0710596,0.695727,0.233214
29,156073,116.603,0.0637217,0.703019,0.233259
30,156085,122.672,0.0635958,0.704756,0.231648
31,156085,122.672,0.0634779,0.706353,0.230169
32,156086,-404.131,0.0633673,0.707824,0.228808
33,156046,-404.131,0.0574171,0.713612,0.228971
34,156059,-550.525,0.0527888,0.718318,0.228893
35,156070,-563.029,0.0490858,0.722247,0.228667
36,156078,-598.013,0.0488489,0.723472,0.227679
37,156078,-598.013,0.0486278,0.724616,0.226756
38,156172,-598.013,0.0499816,0.749075,0.200943
39,156220,192.85,0.0509437,0.767626,0.181431
40,156253,33.4095,0.0516471,0.78219,0.166162
41,156277,135.168,0.0514758,0.783344,0.16518
42,156277,135.168,0.051314,0.784428,0.164258
43,156349,135.168,0.053396,0.776074,0.17053
44,156413,706.361,0.0558323,0.775447,0.168721
45,156417,326.218,0.0581232,0.774733,0.167144
46,156421,-28.3234,0.0583472,0.781217,0.160435
47,156433,46.8205,0.0581933,0.782496,0.159311
48,156433,46.8205,0.0580461,0.783705,0.158249
49,156313,46.8205,0.0617185,0.770681,0.167601
50,156336,23.5772,0.0651088,0.758742,0.176149
51,156363,26.5574,0.0682493,0.747758,0.183992
52,156387,24.4434,0.0681543,0.748728,0.183118
53,156387,24.4434,0.0680629,0.749651,0.182287
54,156387,24.4434,0.0679748,0.750531,0.181495
55,156389,-425.416,0.0678899,0.751371,0.18074
56,156389,-425.416,0.067808,0.752173,0.180019
57,156389,-425.416,0.0677289,0.752941,0.17933
58,156398,-425.416,0.0677425,0.753349,0.178909
59,156400,-863.429,0.0677553,0.753739,0.178505
60,156400,-863.429,0.0677675,0.754113,0.178119
61,156409,56.7958,0.0676954,0.754775,0.177529
62,156409,56.7958,0.0676257,0.755411,0.176963
63,156457,56.7958,0.0578301,0.76391,0.17826
64,156491,65.7194,0.0507331,0.770199,0.179068
65,156513,186.415,0.0453529,0.775082,0.179565
66,156532,262.955,0.0453121,0.775614,0.179074
67,156532,262.955,0.0452702,0.776138,0.178592
68,156532,262.955,0.0452295,0.776644,0.178127
69,156545,262.955,0.0443954,0.777778,0.177826
70,156547,-181.831,0.0436156,0.778854,0.17753
71,156552,108.876,0.0428851,0.779876,0.177239
72,156552,108.876,0.0429167,0.780262,0.176821
73,156552,108.876,0.0429474,0.780636,0.176417
74,156554,-341.925,0.0429772,0.780997,0.176025
75,156554,-341.925,0.043006,0.781347,0.175647
76,156554,-341.925,0.043034,0.781687,0.175279
77,156554,-341.925,0.0430612,0.782015,0.174924
78,156554,-341.925,0.0430876,0.782334,0.174579
79,156554,-341.925,0.0431133,0.782643,0.174244
80,156595,-341.925,0.0432732,0.785392,0.171334
81,156610,-36.4948,0.0434243,0.787985,0.168591
82,156612,-452.465,0.0435673,0.790433,0.165999
83,156612,-452.465,0.0435941,0.790776,0.16563
84,156614,-889.154,0.0436202,0.791109,0.16527
85,156624,67.5921,0.0436456,0.791433,0.164921
86,156624,67.5921,0.0436703,0.791747,0.164582
87,156624,67.5921,0.0436943,0.792053,0.164252
88,156624,67.5921,0.0437177,0.792351,0.163932
89,156624,67.5921,0.0437406,0.79264,0.163619
90,156624,67.5921,0.0437628,0.792922,0.163315
91,156997,67.5921,0.0662631,0.687025,0.246712
92,157321,323.963,0.083161,0.60791,0.308929
93,157566,245.124,0.0963407,0.546556,0.357103
94,157757,190.861,0.0964093,0.547,0.35659
95,157757,190.861,0.0964763,0.547433,0.35609
96,157757,190.861,0.0965416,0.547856,0.355602
97,157757,190.861,0.0966054,0.54827,0.355125
98,157757,190.861,0.0966677,0.548673,0.354659
99,157760,-244.135,0.0967285,0.549068,0.354204
100,157760,-244.135,0.096788,0.549453,0.353759
101,157760,-244.135,0.0968461,0.54983,0.353324
102,157760,-244.135,0.0969028,0.550199,0.352898
103,157760,-244.135,0.0969583,0.550559,0.352482
104,157760,-244.135,0.0970126,0.550912,0.352075
105,157753,-244.135,0.0970325,0.551278,0.35169
106,157756,-649.709,0.0970519,0.551636,0.351312
107,157756,-649.709,0.0970708,0.551987,0.350943
108,157712,-649.709,0.0943846,0.553984,0.351631
109,157720,-802.736,0.0918915,0.555859,0.35225
110,157729,-401.972,0.0895715,0.557622,0.352806
111,157716,-607.672,0.0889005,0.55837,0.35273
112,157716,-607.672,0.0882519,0.559098,0.35265
113,157720,-418.736,0.0876245,0.559806,0.352569
114,157720,-418.736,0.0876474,0.56011,0.352242
115,157720,-418.736,0.0876698,0.560408,0.351922
116,157813,-850.287,0.0884308,0.565426,0.346143
117,157841,64.5437,0.0891538,0.570201,0.340645
118,157800,-699.111,0.0902226,0.572946,0.336832
119,157829,29.2355,0.0906233,0.571509,0.337868
120,157672,29.2355,0.0646866,0.58662,0.348694
121,157577,172.674,0.0561091,0.550002,0.393889
122,157772,195.058,0.0501704,0.517467,0.432363
123,157935,162.74,0.0536312,0.484668,0.461701
124,158067,132.816,0.053646,0.485004,0.46135
125,158067,132.816,0.0536605,0.485334,0.461006
126,158056,132.816,0.0536356,0.485678,0.460686
127,158056,132.816,0.0536111,0.486017,0.460372
128,158056,132.816,0.0535871,0.48635,0.460063
129,158044,132.816,0.0535616,0.486678,0.459761
130,158044,132.816,0.0535365,0.487,0.459463
131,158177,-284.306,0.0542077,0.493655,0.452137
132,158211,161.307,0.0548771,0.499989,0.445134
133,158246,35.2916,0.0555151,0.506039,0.438446
134,158271,128.247,0.0555264,0.506375,0.438098
135,158271,128.247,0.0555375,0.506706,0.437756
136,158271,128.247,0.0555484,0.507032,0.43742
137,158271,128.247,0.055559,0.507352,0.437089
138,158271,128.247,0.0555694,0.507667,0.436764
139,158271,128.247,0.0555796,0.507977,0.436443
140,158271,128.247,0.0555896,0.508282,0.436128
141,158271,128.247,0.0555994,0.508583,0.435818
142,158276,-282.657,0.055609,0.508879,0.435512
143,158276,-282.657,0.0556185,0.50917,0.435212
144,158276,-282.657,0.0556277,0.509457,0.434916
145,158276,-282.657,0.0556368,0.509739,0.434624
146,158348,-282.657,0.0557818,0.511265,0.432953
147,158353,-741.509,0.0559236,0.51276,0.431317
148,158371,430.218,0.0560621,0.514222,0.429715
149,158426,-233.53,0.0560694,0.514479,0.429451
150,158367,-233.53,0.0529749,0.516424,0.430601
151,158386,215.51,0.0502417,0.51817,0.431589
152,158594,40.3049,0.0491515,0.534333,0.416515
153,158669,-87.9694,0.0503773,0.547928,0.401694
154,158735,102.316,0.0515019,0.560431,0.388067
155,158806,70.9051,0.0515077,0.560761,0.387731
156,158791,70.9051,0.051435,0.561132,0.387433
157,158791,70.9051,0.0513635,0.561498,0.387138
158,158791,70.9051,0.0512932,0.561859,0.386848
159,158791,70.9051,0.0512957,0.562172,0.386532
160,158791,70.9051,0.0512981,0.562481,0.386221
161,158791,70.9051,0.0513004,0.562785,0.385915
162,158796,-329.8,0.0513027,0.563085,0.385612
163,158796,-329.8,0.0513049,0.563381,0.385314
164,158796,-329.8,0.0513071,0.563673,0.38502
165,158796,-329.8,0.0513091,0.563961,0.38473
166,158796,-329.8,0.0513111,0.564245,0.384444
167,158796,-329.8,0.0513131,0.564525,0.384162
168,158796,-329.8,0.051315,0.564802,0.383884
169,158718,-329.8,0.0516202,0.562503,0.385877
170,158718,-329.8,0.0519194,0.560255,0.387826
171,158718,-329.8,0.0522127,0.558056,0.389732
172,158726,392.497,0.0522154,0.558314,0.389471
173,158726,392.497,0.0522181,0.558569,0.389213
174,158726,392.497,0.0522206,0.558821,0.388959
175,158499,392.497,0.054799,0.53732,0.407881
176,158625,126,0.0571608,0.517671,0.425169
177,158738,112.769,0.0593327,0.499642,0.441025
178,158842,103.632,0.0593408,0.499869,0.440791
179,158842,103.632,0.0593487,0.500092,0.440559
180,158842,103.632,0.0593565,0.500313,0.440331
181,158661,103.632,0.0609504,0.487186,0.451864
182,158734,73.2213,0.0624471,0.474886,0.462666
183,158809,75.2788,0.0638556,0.463339,0.472805
184,158880,70.7793,0.0638676,0.463531,0.472601
185,158880,70.7793,0.0638794,0.463721,0.4724
186,158858,70.7793,0.0637008,0.464003,0.472297
187,158858,70.7793,0.0635253,0.464281,0.472194
188,158858,70.7793,0.0633527,0.464555,0.472092
189,158858,70.7793,0.0633611,0.464738,0.471901
190,158858,70.7793,0.0633693,0.464918,0.471713
191,158858,70.7793,0.0633774,0.465096,0.471526
192,158858,70.7793,0.0633855,0.465273,0.471342
193,158858,70.7793,0.0633934,0.465447,0.47116
194,158858,70.7793,0.0634012,0.465619,0.47098
